City,FirstField,FoundTime,InvestCompany,Money,MoneyRound,MoneyTime,Name,Round,SecondField
,电子商务,2013.1,,,,,以旧换新网,(获投状态：不明确),综合电商
,教育,2011.5,,,,,佰分云教育,(获投状态：不明确),教育信息化
,社交网络,2013.3,,,,,iChuz,(获投状态：不明确),家庭熟人社交
,电子商务,2012.8,,,,,鸣博,(获投状态：不明确),电商解决方案
,社交网络,2011.8,,,,,粉粉日记,(B+轮),兴趣社区
,工具软件,2012.3,,,,,极度刷机,(获投状态：不明确),优化清理
,工具软件,2013.4,,,,,可米电话,(A轮),无线通讯
,工具软件,2011.10,,,,,中华万年历																			/ 随身云,(B轮),实用生活服务
,工具软件,2013.1,,,,,Calendar Pro																			/ 随身云,(B轮),事项及效率
,社交网络,2012.3,,,,,Flirq,(获投状态：不明确),婚恋交友
,汽车交通,2011.7,,,,,打车小秘,(B轮),交通出行
,旅游,2013.4,,,,,艺景网,(获投状态：不明确),旅游综合服务
,工具软件,2013.2,,,,,IndooRun室内定位,(获投状态：不明确),位置定位
,工具软件,2012.1,,,,,随身云																			/ 随身移动,(B轮),实用生活服务
,工具软件,2013.2,,,,,Call Saver客服省钱通,(获投状态：不明确),实用生活服务
,旅游,2012.8,,,,,徒步狗旅行,(获投状态：不明确),跨境游
,文化娱乐,2013.1,,,,,美味爱读																			/ AVOS,(获投状态：不明确),媒体及阅读
,本地生活,2012.5,,,,,美食拼图,(获投状态：不明确),美食餐饮
,汽车交通,2010.5,,,,,易到用车,(战略投资),交通出行
,企业服务,2013.3,,,,,格灵深瞳,(B轮),黑科技及前沿技术
,企业服务,2009.11,,,,,信策数据,(已被收购),数据服务
,教育,2010.1,,,,,二兔邮包,(A轮),儿童早教
,工具软件,2012.1,,,,,摩机平板升级网,(天使轮),优化清理
,本地生活,2011.9,,,,,来客宝,(A轮),本地综合生活
,文化娱乐,2012.7,,,,,让我秀,(获投状态：不明确),综合文娱
,电子商务,2011.9,,,,,宝珑网,(尚未获投),珠宝首饰
,工具软件,2012.4,,,,,美味书签																			/ AVOS,(天使轮),事项及效率
,物流,2011.9,,,,,尚橙物流,(已被收购),仓储服务
,工具软件,2012.11,,,,,美味集																			/ AVOS,(尚未获投),事项及效率
,汽车交通,2013.3,,,,,汇车网,(获投状态：不明确),交通出行
,工具软件,2010.11,,,,,武汉飞众科技,(天使轮),综合工具服务
,企业服务,2005.5,,,,,梆梆安全Bangcle,(D轮),企业安全
,金融,2010.1,,,,,PosPal银豹收银系统																			/ 准动网络,(A轮),支付
,教育,2012.7,,,,,WishBird千纸鹤,(天使轮),出国留学
,企业服务,2013.1,,,,,微语意,(天使轮),B2D开发者服务
,工具软件,2012.12,,,,,语意果																			/ Mobvoi,(天使轮),实用生活服务
,汽车交通,2012.8,,,,,车友汇																			/ 车一百,(获投状态：不明确),车主工具及服务
,社交网络,2012.7,,,,,WeCenter																			/ Anwsion,(天使轮),陌生人交友
,工具软件,2012.8,,,,,Mobvoi羽扇智,(C轮),实用生活服务
,企业服务,2012.10,,,,,出门问问,(D轮),行业信息化及解决方案
,企业服务,2013.1,,,,,APP探客,(获投状态：不明确),B2D开发者服务
,汽车交通,2011.5,,,,,2号车库																			/ 车蚂蚁,(获投状态：不明确),汽车后服务
,工具软件,2012.8,,,,,云助理,(获投状态：不明确),实用生活服务
,物流,2008.11,,,,,无忧运力网,(获投状态：不明确),货运物流
,企业服务,2012.3,,,,,Seafile																			/ 海文互知,(天使轮),办公OA
,本地生活,2007.8,,,,,好狗狗																			/ 阿丁特科技,(A轮),宠物服务
,工具软件,2011.8,,,,,飞速																			/ 加速宝/闪联智通,(A轮),优化清理
,教育,2011.5,,,,,脑工场																			/ 智华博润,(获投状态：不明确),儿童早教
,旅游,2012.7,,,,,漫步南锣鼓巷																			/ 苹安云开,(天使轮),旅游工具及社区
,企业服务,2012.6,,,,,云知声,(C+轮),行业信息化及解决方案
,本地生活,2011.6,,,,,易站																			/ 尚成之义,(天使轮),维修服务
,文化娱乐,2013.4,,,,,玩拍																			/ AVOS,(尚未获投),视频
,汽车交通,2012.9,,,,,车蚂蚁,(A轮),汽车后服务
,硬件,2011.1,,,,,友宝Ubox,(战略投资),消费电子
,广告营销,2009.4,,,,,品友互动,(新三板),广告技术
,社交网络,2013.3,,,,,小聚,(获投状态：不明确),综合社交
,电子商务,2011.10,,,,,花在开BloomingHour,(获投状态：不明确),综合电商
,电子商务,2011.12,,,,,TheBeast野兽派花店,(B轮),综合电商
,企业服务,2011.9,,,,,卓奇科技,(A轮),行业信息化及解决方案
,教育,2013.2,,,,,英语流利说,(已上市),语言学习
,旅游,2012.5,,,,,大鱼自助游,(已被收购),跨境游
,医疗健康,2011.7,,,,,春雨医生																			/ 春雨天下,(D轮),寻医诊疗
,社交网络,2011.3,,,,,口袋象,(获投状态：不明确),家庭熟人社交
,旅游,2013.3,,,,,乐逸旅游网,(获投状态：不明确),旅游综合服务
,电子商务,2012.12,,,,,i良仓,(获投状态：不明确),综合电商
,工具软件,2013.4,,,,,手机大师																			/ 上海朱雀网络,(A轮),优化清理
,广告营销,2010.1,,,,,安沃传媒Adwo																			/ 掌阔移动,(已被收购),移动及网络广告
,物流,2011.1,,,,,货车帮,(B+轮),货运物流
,医疗健康,2009.11,,,,,白天使,(A轮),医生服务
,企业服务,2012.11,,,,,食品追溯平台,(A轮),其他企业服务
,文化娱乐,2011.6,,,,,今晚看啥,(已被收购),影视
City,FirstField,FoundTime,InvestCompany,Money,MoneyRound,MoneyTime,Name,Round,SecondField
,电子商务,2013.3,,,,,北鼻网,(获投状态：不明确),母婴玩具
City,FirstField,FoundTime,InvestCompany,Money,MoneyRound,MoneyTime,Name,Round,SecondField
,电子商务,2013.3,,,,,北鼻网,(获投状态：不明确),母婴玩具
,电子商务,2013.4,,,,,店铺秀秀,(获投状态：不明确),3C电子
,金融,2010.11,,,,,51分期网,(获投状态：不明确),信用及征信
,工具软件,2011.10,,,,,UCam全能相机,(获投状态：不明确),图像视频
,金融,2012.11,,,,,帮助贷,(获投状态：不明确),借贷
,工具软件,2013.7,,,,,微俱聚																			/ 微信加,(新三板),其他工具
,企业服务,2013.1,,,,,微步,(A轮),销售营销
,文化娱乐,2013.6,,,,,飞秀																			/ 上海逸视,(获投状态：不明确),视频
,企业服务,2013.5,,,,,55管家,(获投状态：不明确),IT基础设施
,硬件,2011.3,,,,,苏州摩多物联科技,(获投状态：不明确),智能家居
,文化娱乐,2013.5,,,,,推播																			/ 上土科技,(尚未获投),媒体及阅读
,本地生活,2013.5,,,,,Māo!,(尚未获投),宠物服务
,硬件,2008.3,,,,,中科创达,(已上市),综合硬件
,电子商务,2010.3,,,,,移淘商城,(B轮),综合电商
,工具软件,2013.4,,,,,哦啦语音助手,(获投状态：不明确),实用生活服务
,教育,2013.2,,,,,英语口语精华,(获投状态：不明确),语言学习
,教育,2011.5,,,,,一本词典																			/ 语智云帆,(获投状态：不明确),语言学习
,教育,2012.9,,,,,滔滔英语,(天使轮),语言学习
,工具软件,2012.10,,,,,WiFi一号通																			/ wifiin,(获投状态：不明确),无线通讯
,房产服务,2013.1,,,,,九猪网																			/ 久租网络,(天使轮),租房
,工具软件,2008.1,,,,,千尺无限,(已被收购),其他工具
,社交网络,2011.12,,,,,嘀咕网,(获投状态：不明确),兴趣社区
,文化娱乐,2013.2,,,,,图吧,(天使轮),视频
,工具软件,2012.8,,,,,火兔相机,(获投状态：不明确),图像视频
,硬件,2010.8,,,,,宏智力BrainLink,(A轮),综合硬件
,文化娱乐,2013.4,,,,,遨游讯海,(获投状态：不明确),视频
,硬件,2011.7,,,,,微动Vidoo,(A轮),消费电子
,游戏,2010.9,,,,,天魂网络PGSoul,(A轮),游戏开发商
,文化娱乐,2012.12,,,,,必趣Biquu,(天使轮),影视
,游戏,2013.1,,,,,553手游先锋,(获投状态：不明确),游戏发行及渠道
,汽车交通,2012.12,,,,,打的啦,(获投状态：不明确),交通出行
,游戏,2009.4,,,,,优陆软件Illumesoft																			/ 时空塔防,(A轮),游戏开发商
,社交网络,2013.5,,,,,I-IN物品社交,(获投状态：不明确),兴趣社区
,汽车交通,2012.10,,,,,移建叫车,(获投状态：不明确),交通出行
,文化娱乐,2013.5,,,,,Youmoo优木乐视,(获投状态：不明确),视频
,医疗健康,2005.3,,,,,深圳宁远科技,(A轮),医疗信息化
,本地生活,2013.3,,,,,591月子网,(获投状态：不明确),家政服务
,汽车交通,2013.1,,,,,603叫车,(获投状态：不明确),交通出行
,医疗健康,2009.8,,,,,就医160网																			/ 宁远科技,(C轮),寻医诊疗
,汽车交通,2011.1,,,,,微拼车,(获投状态：不明确),交通出行
,房产服务,2012.10,,,,,家装360,(获投状态：不明确),装修装潢
,游戏,2012.5,,,,,上海龙魂网络,(A轮),游戏开发商
,汽车交通,2011.5,,,,,上海为兴数字,(获投状态：不明确),车联网及硬件
,电子商务,2011.7,,,,,淘宝美折,(尚未获投),电商解决方案
,旅游,2012.5,,,,,每刻途,(获投状态：不明确),主题特色游
,游戏,2012.2,,,,,好玩一二三科技,(A轮),游戏开发商
,金融,2014.1,,,,,大明理财																			/ 大明世纪,(获投状态：不明确),理财
,游戏,2011.3,,,,,上海浣熊信息科技,(获投状态：不明确),游戏开发商
,旅游,2013.2,,,,,西柚记SeeYouKee,(尚未获投),旅游工具及社区
,电子商务,2007.10,,,,,北联伟业,(已被收购),电商解决方案
,文化娱乐,2011.7,,,,,友友桥,(获投状态：不明确),视频
,工具软件,2011.9,,,,,便签网,(获投状态：不明确),事项及效率
,汽车交通,2013.1,,,,,特道车脉,(获投状态：不明确),车联网及硬件
,本地生活,2012.9,,,,,小区无忧,(A轮),小区服务
,电子商务,2012.5,,,,,标汇网,(尚未获投),综合电商
,硬件,2012.7,,,,,同渺信息																			/ I2LInk,(获投状态：不明确),消费电子
,旅游,2012.10,,,,,微驴儿																			/ 惟旅网络,(天使轮),跨境游
,汽车交通,2012.1,,,,,行车通,(获投状态：不明确),车联网及硬件
,社交网络,2013.3,,,,,启维文化,(天使轮),兴趣社区
,物流,2013.2,,,,,快递兔,(天使轮),其他物流
,医疗健康,2010.4,,,,,也瘦网Sline																			/ 赢捷科技,(A轮),健康保健
,社交网络,2013.1,,,,,货代帮帮忙,(获投状态：不明确),综合社交
,社交网络,2013.2,,,,,汇员之家																			/ 英博讯网络,(获投状态：不明确),综合社交
,硬件,2012.4,,,,,指控VirTouchR																			/ 永利宁科技,(尚未获投),消费电子
,金融,2012.9,,,,,淘金路,(A轮),股票
,教育,2013.1,,,,,微单词,(尚未获投),语言学习
,工具软件,2007.1,,,,,成都网点通																			/ 记账猫,(获投状态：不明确),实用生活服务
,文化娱乐,2013.5,,,,,乐录,(获投状态：不明确),视频
,教育,2013.3,,,,,1号教室,(天使轮),K12
,游戏,2011.9,,,,,安纳西AnansiMobile,(获投状态：不明确),游戏开发商
,旅游,2013.3,,,,,驮略网,(获投状态：不明确),旅游工具及社区
,文化娱乐,2013.11,,,,,图加加																			/ 榄图科技,(获投状态：不明确),视频
,本地生活,2006.10,,,,,19楼,(A轮),本地综合生活
,企业服务,2007.1,,,,,优必达科技,(A轮),B2D开发者服务
,房产服务,2012.8,,,,,新途网,(获投状态：不明确),装修装潢
,物流,2008.9,,,,,九九物流网,(获投状态：不明确),货运物流
,金融,2012.10,,,,,趣保科技																			/ 护驾,(获投状态：不明确),保险
,房产服务,2013.5,,,,,租租看,(获投状态：不明确),租房
,企业服务,2006.4,,,,,雅座,(C轮),销售营销
,工具软件,2011.5,,,,,秒酷科技																			/ 地图加加,(尚未获投),位置定位
,金融,2012.11,,,,,保险岛,(天使轮),保险
